r(angstrom),E_Ar2_AB(Hartree),E_Ar_iso(Hartree),E_ArA_AB(Hartree),E_ArB_AB(Hartree),E_int_noCP(Hartree),E_int_CP(Hartree),BSSE_correction(Hartree),E_int_noCP(kcal/mol),E_int_CP(kcal/mol),BSSE_correction(kcal/mol)
4.15,-1055.103203059639,-527.551432950626,-527.551439368411,-527.551439369868,-0.00033715838708303636,-0.0003243213600399031,1.2837027043133276e-05,-0.21157008213316453,-0.2035147260456042,0.008055356087560337
4.2,-1055.1031854313,-527.551432950626,-527.551439404708,-527.551439406376,-0.00031953004804563534,-0.000306620216065312,1.290983198032336e-05,-0.20050813237631135,-0.19240709050091026,0.00810104187540109
4.25,-1055.103166434996,-527.551432950626,-527.551439129417,-527.551439130878,-0.0003005337439390132,-0.00028817470104058884,1.2359042898424377e-05,-0.18858777157842085,-0.18083235507008713,0.007755416508333716
4.3,-1055.103146738612,-527.551432950626,-527.5514385213,-527.551438522235,-0.0002808373599236802,-0.0002696950768950046,1.1142283028675593e-05,-0.17622810400525724,-0.16923621584277387,0.006991888162483348
4.35,-1055.1031280413,-527.551432950626,-527.551437793123,-527.551437794981,-0.0002621400478801661,-0.00025245319591249427,9.686851967671828e-06,-0.16449536355961783,-0.15841677217666822,0.006078591382949613
4.4,-1055.103111076384,-527.551432950626,-527.551437236265,-527.551437237241,-0.00024517513202226837,-0.00023660287808979774,8.57225393247063e-06,-0.15384971813317416,-0.14847054757701508,0.005379170556159076
4.4,-1055.103111076384,-527.551432950626,-527.551437236265,-527.551437237241,-0.00024517513202226837,-0.00023660287808979774,8.57225393247063e-06,-0.15384971813317416,-0.14847054757701508,0.005379170556159076
4.6,-1055.103056493405,-527.551432950626,-527.551437397518,-527.551437398395,-0.00019059215287597908,-0.00018169749182561645,8.894661050362629e-06,-0.11959838159973321,-0.11401689752261188,0.00558148407712134
4.8,-1055.103007681603,-527.551432950626,-527.551435403895,-527.551435404147,-0.00014178035098666442,-0.00013687356101854675,4.906789968117664e-06,-0.08896851347117717,-0.08588945627925516,0.003079057191921992
5.0,-1055.10297757769,-527.551432950626,-527.551436111701,-527.551436111664,-0.00011167643788212445,-0.00010535432488723018,6.322112994894269e-06,-0.07007802279360557,-0.06611083699361091,0.003967185799994667
5.2,-1055.102950499208,-527.551432950626,-527.551435013269,-527.5514350123,-8.459795594717434e-05,-8.047363894547743e-05,4.124317001696909e-06,-0.05308601883788654,-0.05049797084554245,0.002588047992344084
5.4,-1055.102932472531,-527.551432950626,-527.551434507665,-527.55143450708,-6.657127892140124e-05,-6.345778592731222e-05,3.113492994089029e-06,-0.04177410821947578,-0.03982036186845229,0.0019537463510234912
5.6,-1055.102922943741,-527.551432950626,-527.55143657145,-527.551436570424,-5.7042489061132073e-05,-4.980186702141509e-05,7.240622039716982e-06,-0.03579470230640174,-0.031251143378826125,0.00454355892757561
5.8,-1055.10290754247,-527.551432950626,-527.551433746262,-527.551433746113,-4.16412178765313e-05,-4.005009486718336e-05,1.591123009347939e-06,-0.02613025872642155,-0.025131813963756328,0.0009984447626652222
6.0,-1055.10289762842,-527.551432950626,-527.55143258849,-527.551432588073,-3.172716787958052e-05,-3.2451856895931996e-05,-7.246890163514763e-07,-0.019909098427625265,-0.020363847651089558,-0.00045474922346429227
6.5,-1055.102884690252,-527.551432950626,-527.551432395696,-527.55143239603,-1.8789000023389235e-05,-1.989852603401232e-05,-1.1095260106230853e-06,-0.011790275521662966,-0.012486513604978376,-0.0006962380833154106
7.0,-1055.10288293595,-527.551432950626,-527.551435127567,-527.551435127561,-1.7034697975759627e-05,-1.2680822010224801e-05,4.353875965534826e-06,-0.010689434366517788,-0.007957335949523787,0.0027320984169940006
7.5,-1055.102868745112,-527.551432950626,-527.551430196722,-527.55143019683,-2.843859874701593e-06,-8.351559927177732e-06,-5.507700052476139e-06,-0.0017845490141037024,-0.005240682976982777,-0.003456133962879074
8.0,-1055.102871119026,-527.551432950626,-527.551432732918,-527.551432732472,-5.21777405992907e-06,-5.6536360943937325e-06,-4.3586203446466243e-07,-0.003274202655796935,-0.003547710211780425,-0.0002735075559834902
8.5,-1055.102878088328,-527.551432950626,-527.551437083449,-527.551437083592,-1.2187075981273665e-05,-3.9212870888150064e-06,8.265788892458659e-06,-0.007647505638607071,-0.002460644798505296,0.005186860840101775
9.0,-1055.102861176422,-527.551432950626,-527.551429198348,-527.551429198375,4.724829977931222e-06,-2.7796990025308332e-06,-7.504528980462055e-06,0.0029648755741910524,-0.0017442874589564477,-0.0047091630331475
9.5,-1055.102861105049,-527.551432950626,-527.551429547939,-527.551429548043,4.796203029400203e-06,-2.009066975006135e-06,-6.8052700044063386e-06,0.003009662840176128,-0.0012607085607168709,-0.004270371400892999
10.0,-1055.102874236559,-527.551432950626,-527.55143637927,-527.551436379274,-8.335307029483374e-06,-1.4780150650040014e-06,6.857291964479373e-06,-0.005230484129699614,-0.0009274684560047367,0.004303015673694878
